,Step,Value
0,0,0.5737314224243164
1,1,0.5650308614969254
2,2,0.5561066595852375
3,3,0.5474830535907149
4,4,0.543178136167925
5,5,0.5300360290883197
6,6,0.5201759224128158
7,7,0.5150887529320038
8,8,0.5032552101874205
9,9,0.4957306318459127
10,10,0.4820802235253097
11,11,0.47797589959313147
12,12,0.4885586560467241
13,13,0.48298884720527774
14,14,0.4724946661592961
15,15,0.47385826601221426
16,16,0.4668523274332078
17,17,0.4536077019021008
18,18,0.4405864340147021
19,19,0.4347311581631339
20,20,0.43095001411490025
21,21,0.42144521637491245
22,22,0.4124979789862488
23,23,0.40751128724727625
24,24,0.4097949218571033
25,25,0.41008702012912907
26,26,0.4036263703017067
27,27,0.40952409326250805
28,28,0.4113006614548296
29,29,0.3995849971645382
30,30,0.4034948652810429
31,31,0.4059096160300879
32,32,0.4007535803507393
33,33,0.39037928500858143
34,34,0.3926623493820064
35,35,0.3944044959630307
36,36,0.39836273705610425
37,37,0.39459604580071866
38,38,0.4063548160918417
39,39,0.40646939825957856
40,40,0.4129735805434623
41,41,0.40288816949369627
42,42,0.4067841777209013
43,43,0.40334155640637215
44,44,0.3974694695752758
45,45,0.401538096846648
46,46,0.40341116960018164
47,47,0.39536174094098403
48,48,0.3903322888996543
49,49,0.39461734184130814
50,50,0.3933168695928627
51,51,0.3865642629162822
52,52,0.39088476869219446
53,53,0.3938371535244223
54,54,0.3962049396973461
55,55,0.3930189963450227
56,56,0.39291181015049337
57,57,0.39592381446167
58,58,0.4046801031362825
59,59,0.4078871933345492
60,60,0.41235247497233257
61,61,0.4206422421537616
62,62,0.4145161970129361
63,63,0.40620533824305166
64,64,0.4064572187099558
65,65,0.40821255073103957
66,66,0.4129925981849642
67,67,0.41434153055482204
68,68,0.4157006843286729
69,69,0.4146372473601497
70,70,0.4173966088295337
71,71,0.4251164790010803
72,72,0.42813105126780165
73,73,0.4364857680912443
74,74,0.44592133236353315
75,75,0.4457695792287635
76,76,0.4501648266184674
77,77,0.4457646450899703
78,78,0.46027126064773766
79,79,0.46623400538531545
80,80,0.46981088750038474
81,81,0.47052480646122685
82,82,0.46933283467558723
83,83,0.4719882959015471
84,84,0.4645782407470971
85,85,0.466727372346813
86,86,0.4724495637169575
87,87,0.4748787698620145
88,88,0.4794501995343813
89,89,0.48184900064725283
90,90,0.4893067452675503
91,91,0.4842421665671207
92,92,0.472287762794287
93,93,0.4575350089341969
94,94,0.46349420283594384
95,95,0.45458826882655484
96,96,0.4591036755679539
97,97,0.4537949946423477
98,98,0.44894655294404473
99,99,0.4520877318552552
100,100,0.4574779184462333
101,101,0.4599587127252109
102,102,0.4657794515924504
103,103,0.46798061687057035
104,104,0.4772651847672638
105,105,0.4816401549088414
106,106,0.48554225766940723
107,107,0.49247830395143205
108,108,0.490762178713069
109,109,0.49187978721444386
110,110,0.49807270299014184
111,111,0.49036790570925237
112,112,0.494245141197219
113,113,0.5008089051191854
114,114,0.5107841649144291
115,115,0.5210411263410752
116,116,0.5240240738566181
117,117,0.5249891326147026
118,118,0.5230379471048244
119,119,0.5203182854429765
120,120,0.5230938923949128
121,121,0.5218743716943447
122,122,0.5183645578141514
123,123,0.5243092973029959
124,124,0.528476455708979
125,125,0.5294018752491793
126,126,0.5346866509760576
127,127,0.5317041724255389
128,128,0.5248263409075538
129,129,0.5348774346743053
130,130,0.537242491990694
131,131,0.5396639495599914
132,132,0.54144133643444
133,133,0.5373369836904035
134,134,0.5288437133288832
135,135,0.5273797355099407
136,136,0.529406242925311
137,137,0.5386474859960885
138,138,0.5384180222874414
139,139,0.5381475027577356
140,140,0.5387308880502495
141,141,0.5372427082028356
142,142,0.5345836669411961
143,143,0.5358273407126105
144,144,0.5234988864363819
145,145,0.5291455456356777
146,146,0.5244371242625682
147,147,0.5292380036741631
148,148,0.5341185331356362
149,149,0.5352814251196103
150,150,0.5413847261142333
151,151,0.5407127716677271
152,152,0.5320387762538109
153,153,0.5218655049735307
154,154,0.5072649834687173
155,155,0.4996010386897438
156,156,0.4960038038803915
157,157,0.48224103420840125
158,158,0.4806565979139781
159,159,0.48074770119057175
160,160,0.4775317993243875
161,161,0.46544543997601057
162,162,0.4638734683910393
163,163,0.46778989685219424
164,164,0.4531505299023338
165,165,0.451155442743245
166,166,0.4599271624895491
167,167,0.46663856362466344
168,168,0.46009917057169164
169,169,0.45975342777020295
170,170,0.4477426611659933
171,171,0.44578963639788116
172,172,0.4485998201492207
173,173,0.4456865052522767
174,174,0.4545135437985393
175,175,0.44920294919557685
176,176,0.44253270923652094
177,177,0.4326483381645109
178,178,0.43158541203813394
179,179,0.4294653852826742
180,180,0.413877407197746
181,181,0.40060155817841137
182,182,0.39640556502898433
183,183,0.397416946900629
184,184,0.3868435150748646
185,185,0.3741335617604349
186,186,0.3745053185653159
187,187,0.36099950888704796
188,188,0.3534368287996652
189,189,0.3634366559347948
190,190,0.3616987230566965
191,191,0.3561372201210209
192,192,0.3603193823655733
193,193,0.36083281224158265
194,194,0.3686637229058642
195,195,0.37551684149803355
196,196,0.3758234065673214
197,197,0.3811285951815493
198,198,0.3787605696908258
199,199,0.3840381354740963
200,200,0.3866012849554607
201,201,0.38307751746860513
202,202,0.392777154014195
203,203,0.3956538606425406
204,204,0.4002076648724952
205,205,0.39129731053335964
206,206,0.3980053629903124
207,207,0.39739354041853003
